LR,BATCH,loss,accuracy,train_time_s
0.005,64,0.34,93.89,135
0.005,128,0.27,95.92,155
0.005,256,0.24,97.00,214
0.005,512,0.13,97.50,352
0.01,64,0.42,93.61,107
0.01,128,0.22,95.01,129
0.01,256,0.11,97.26,178
0.01,512,0.16,97.45,291
0.02,64,0.11,94.94,109
0.02,128,0.22,96.85,128
0.02,256,0.09,97.73,175
0.02,512,0.08,97.88,284
0.05,64,0.21,95.05,105
0.05,128,0.20,96.72,130
0.05,256,0.25,96.95,175
0.05,512,0.11,98.18,314
0.1,64,0.88,95.33,132
0.1,128,0.15,95.80,160
0.1,256,0.13,97.34,239
0.1,512,0.14,97.78,344
