LR,LR_DECAY,loss,accuracy,train_time_s
0.005,0.90,0.63,86.22,38
0.005,0.92,0.61,87.64,36
0.005,0.95,0.57,87.56,36
0.005,0.98,0.53,87.64,36
0.005,1,0.55,87.42,37
0.01,0.90,0.61,87.10,36
0.01,0.92,0.58,87.61,37
0.01,0.95,0.62,87.84,37
0.01,0.98,0.62,86.65,38
0.01,1,0.57,87.05,36
0.02,0.90,0.57,87.00,36
0.02,0.92,0.52,86.07,36
0.02,0.95,0.59,87.04,37
0.02,0.98,0.58,86.07,36
0.02,1,0.57,87.66,36
0.05,0.90,0.52,87.83,36
0.05,0.92,0.52,86.21,36
0.05,0.95,0.56,86.67,36
0.05,0.98,0.66,86.87,36
0.05,1,0.51,87.80,36
0.1,0.90,0.54,86.90,36
0.1,0.92,0.59,86.60,37
0.1,0.95,0.61,87.29,41
0.1,0.98,0.62,86.68,45
0.1,1,0.55,87.42,46
